ra_decals,dec_decals,ls_id_1,mag_g,snr_g,mag_r,snr_r,mag_i,snr_i,mag_z,snr_z,ra_delve,dec_delve,mag_auto_i,magerr_auto_i,extended_class_i,Separation_1,ls_id_2,ra,dec,mag_auto_z,magerr_auto_z,extended_class_z,BD_chi2_min,QSO_chi2_min,R_chi2_best,BIC_value,F_test_value,Prioritization,QSO_z,QSO_EBV,QSO_EMline,Data_Points,QSO_par,BD chi2 template,id,catalogue_id,other_sbids,first_sbid,project_id,island_id,island_name,n_components,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,freq,maj_axis,min_axis,pos_ang,flux_int,flux_int_err,flux_peak,mean_background,background_noise,max_residual,min_residual,mean_residual,rms_residual,stddev_residual,x_min,x_max,y_min,y_max,n_pix,solid_angle,beam_area,x_ave,y_ave,x_cen,y_cen,x_peak,y_peak,flag_i1,flag_i2,flag_i3,flag_i4,comment
26.95280896145365,-57.04866765932666,10995172290604748,24.039835,12.64758,22.701431,38.79967,21.21248,126.22123,20.640371,80.10807,26.95280393129011,-57.04865652878488,21.252645,0.047276,0,0.04126279612133066,11128205461312,26.95280393129011,-57.048656528784875,20.618855,0.064307,0,22.161184046704903,1.421743801932422,0.06415468591100924,18.79353009571717,58.34930376790421,1,5.4,0.0,-2.0,7.0,3.0,MD1,51428442,11263,,50048,31,SB50048_island_25707,J014748-570253,1,01:47:48.6,-57:02:53,26.952595,-57.048152,943.5,8.37,7.47,106.47,0.068,0.0,0.132,-0.011,0.026,0.014,-0.01,0.0,0.004,,3358,3365,4247,4253,45,0.05,0.07,3360.91,4250.27,3360.92,4250.33,3361,4251,0,0,0,0,
27.92304575857572,-45.52843550612199,10995215764558585,26.811764,1.0818456,23.967667,12.357782,21.438282,44.566628,19.841803,171.69789,27.92300989860648,-45.52840807044538,21.371098,0.059306,0,0.13391931801250567,11043700341941,27.923009898606477,-45.52840807044538,19.81236,0.029828,0,103.85164502587611,26.366120352712457,0.2538825489585934,75.40608313148381,14.694146054975471,1,6.6,0.0,-2.0,8.0,3.0,BD4,39510714,9924,,46966,31,SB46966_island_7146,J015141-453143,1,01:51:41.9,-45:31:43,27.924377,-45.528706,943.5,11.53,10.28,84.25,0.354,0.0,0.411,0.001,0.026,0.015,-0.012,0.0,0.005,,5545,5556,8442,8452,110,0.12,0.07,5550.86,8447.15,5550.92,8447.2,5551,8447,0,0,0,0,
32.09858093174347,-1.263778274228727,10995455278190768,25.76015,2.763485,23.785254,17.04819,21.547453,71.38483,20.018158,152.42787,32.09857849999999,-1.26377400072964,21.610092,0.071532,2,0.01769988402550724,10621900202724,32.09857849999999,-1.26377400072964,19.998325,0.042884,0,97.80036202329413,31.594730172874122,0.32305330490851225,64.12619030874016,10.477321928082379,1,6.65,0.0,-2.0,8.0,3.0,BD4,15116002,2424,,15641,18,SB15641_island_2366,J020823-011550,1,02:08:23.4,-01:15:50,32.097654,-1.264048,887.5,14.92,11.12,93.32,4.255,0.0,4.254,0.005,0.366,0.52,-0.339,0.01,0.17,,9779,9788,5018,5023,51,0.09,0.05,9783.57,5020.33,9783.59,5020.48,9784,5021,0,0,0,0,
341.41174875275,-32.00644319680644,10995280402976003,24.324633,3.4846258,Infinity,0.0,20.861275,48.88559,20.024069,49.69032,341.41174525875107,-32.006434169509234,20.953058,0.037891,0,0.03420392179521291,10952900059801,341.41174525875107,-32.006434169509234,19.99898,0.038171,1,108.69564641599806,36.246563841531895,0.33346840500685454,70.25185799712995,11.992709084018525,2,5.9,0.0,0.0,9.0,3.0,MD2,114591,56,,8132,10,SB8132_island_18868,J224538-320025,1,22:45:38.9,-32:00:25,341.411888,-32.007042,887.5,15.53,6.87,50.13,0.01,0.0,0.195,0.002,0.038,0.012,-0.014,0.0,0.006,,5622,5626,5814,5818,15,0.03,0.03,5623.87,5815.67,5623.87,5815.67,5625,5815,0,0,0,0,
46.08134428706695,-61.03596208965979,10995159866023247,25.86015,2.3972962,24.064999,10.434797,21.376364,66.48872,20.146471,124.82723,46.0813455872294,-61.0359743808686,21.45285,0.053218,0,0.04430636755310197,11145800403901,46.0813455872294,-61.035974380868595,20.188185,0.045538,0,151.63203841514996,34.32803012433986,0.2263903491843453,115.3580981417548,13.668597687187084,2,5.799999999999995,0.0,0.0,7.0,1.0,BD4,23718609,4053,,14951,18,SB14951_VAST_0318-62A_island_4123,J030419-610209,2,03:04:19.4,-61:02:09,46.080872,-61.035977,887.5,50.59,10.22,147.4,2.167,0.0,1.705,-0.001,0.204,0.084,-0.071,-0.0,0.026,,9615,9626,9154,9169,75,0.13,0.06,9620.33,9161.35,9620.17,9161.07,9618,9158,0,0,0,0,
24.57553370245225,-70.77482071957677,10995135726758017,24.663841,2.9294865,22.932167,26.395056,21.059599,50.98966,20.164507,79.15908,24.575506423871275,-70.77483249289656,20.845901,0.035184,0,0.05331080578875278,11192700179306,24.575506423871275,-70.77483249289656,20.12323,0.026668,0,84.76991627840809,14.428999086902321,0.1702136762706413,68.26147564982593,24.374842900695914,2,5.4999999999999964,0.0,0.0,8.0,1.0,MD2,16896025,3210,,13713,23,RACS_0130-68A_island_4683,J013818-704630,1,01:38:18.0,-70:46:30,24.575147,-70.775055,887.5,18.18,12.0,24.73,0.751,0.0,1.326,0.0,0.0,0.074,-0.045,0.0,0.025,,6368,6373,4290,4297,39,0.07,0.08,6370.54,4293.9,6370.45,4293.93,6370,4294,0,0,0,0,
347.6951978389176,-81.26574350931797,10995120562244529,25.50198,2.1913502,23.414972,18.71758,21.192684,58.145054,20.183561,69.83713,347.69509981975966,-81.26573785558983,21.33591,0.038407,0,0.05731915938784672,11222700038768,347.69509981975966,-81.26573785558983,20.337337,0.037533,0,155.67578358680947,51.828955307713564,0.3329288224125892,101.76738673741607,10.018225108199381,2,5.4999999999999964,0.0,0.0,8.0,1.0,MD2,29730103,5852,,43531,20,SB43531_island_2014,J231045-811555,1,23:10:45.8,-81:15:55,347.690903,-81.265335,1367.5,18.85,10.99,84.93,2.53,0.0,1.703,0.016,0.156,0.215,-0.254,0.004,0.101,,3480,3497,4185,4197,168,0.19,0.07,3488.27,4190.38,3487.91,4190.27,3487,4190,0,0,0,0,
344.6383788984388,-34.96508414972125,10995265252100572,Infinity,0.0,Infinity,0.0,20.666418,38.63815,20.518074,38.683346,344.6383571830186,-34.96507223243762,20.657753,0.032704,0,0.0771032959725268,10978600113491,344.6383571830186,-34.96507223243762,20.609644,0.048314,2,161.7089840903753,29.068449045506,0.17975778655105726,130.44331046753308,27.37824811441922,2,4.5,0.0,2.0,9.0,3.0,MD1,58639285,12241,,51140,30,SB51140_island_482,J225833-345755,1,22:58:33.2,-34:57:55,344.638206,-34.965363,887.5,14.33,9.66,96.04,35.005,0.0,24.331,-0.014,0.41,0.857,-1.163,0.014,0.479,,8397,8412,1768,1778,118,0.2,0.05,8404.76,1772.74,8405.08,1772.82,8406,1773,0,0,0,0,
352.8813767617622,-71.69503739781256,10995134217847338,25.747425,3.839173,23.730804,19.630318,21.535587,99.379845,20.562124,145.5842,352.8813492623127,-71.69503764350287,21.654432,0.033655,0,0.031105349265341913,11202300247789,352.8813492623127,-71.69503764350287,20.64215,0.030043,0,143.9270446552959,31.135179946230338,0.21632612564788528,110.84595456001026,14.490600652233807,2,5.4999999999999964,0.0,0.0,7.0,1.0,MD2,45689840,8064,,21886,23,SB21886_island_1878,J233132-714145,1,23:31:32.0,-71:41:45,352.883265,-71.695962,1367.5,7.04,6.21,23.69,1.354,0.0,1.914,-0.008,0.267,0.112,-0.085,0.001,0.05,,1123,1129,7779,7784,34,0.04,0.04,1126.0,7781.74,1125.93,7781.69,1126,7781,0,0,0,0,
341.1302843870758,-33.74565807873656,10995271495320008,25.239304,1.9857571,Infinity,0.0,21.56966,39.559643,20.597235,41.70085,341.13026996898736,-33.745669560701415,21.650158,0.068586,1,0.059760764297035696,10965700087226,341.13026996898736,-33.745669560701415,20.722801,0.04949,0,48.54714724022888,15.736870818709331,0.32415644818093203,30.730834879839712,10.424650745214194,2,5.799999999999995,0.0,0.0,8.0,1.0,MD3,36932539,5747,,40329,22,SB40329_island_17689,J224431-334448,1,22:44:31.2,-33:44:48,341.130104,-33.746767,1018.5,6.7,5.08,10.61,0.197,0.0,0.257,-0.002,0.036,0.009,-0.008,0.0,0.005,,8646,8649,5335,5340,22,0.02,0.02,8647.5,5337.5,8647.43,5337.48,8647,5338,0,0,0,0,
335.7881161472577,-49.82122498812441,10995199281989535,25.843811,2.7367675,24.172056,11.180962,21.796757,62.58305,20.626114,82.67108,335.7881110365795,-49.82123145990079,21.755123,0.076588,0,0.026147983661308227,11087600430658,335.7881110365795,-49.82123145990079,20.731583,0.045772,0,107.15753906622707,23.4852074509319,0.21916523704801794,81.59289007361534,17.8138370270123,2,5.699999999999996,0.0,0.0,8.0,1.0,MD2,645990,109,,10635,13,SB10635_island_7137,J222309-494915,1,22:23:09.1,-49:49:15,335.787778,-49.820964,943.5,13.24,10.77,128.62,0.342,0.0,0.517,-0.005,0.047,0.012,-0.017,-0.0,0.006,,2747,2755,8961,8969,56,0.06,0.05,2751.07,8964.64,2751.13,8964.62,2751,8965,0,0,0,0,
324.6751472956767,-5.20257945174626,10995432369947291,24.856895,3.9478018,23.698711,7.2825866,21.635551,24.093897,20.748343,45.789757,324.67514190932724,-5.20256674384099,21.760393,0.137673,2,0.04965717689060354,10670700108141,324.67514190932724,-5.20256674384099,20.599525,0.062037,2,55.018810802173,15.767938914701741,0.28659177988047274,37.17143034579143,12.446418044806878,2,5.55,0.1,-2.0,8.0,3.0,MD2,10815620,981,,11171,18,SB11171_island_444,J213842-051209,1,21:38:42.0,-05:12:09,324.675091,-5.202579,887.5,12.48,11.22,64.04,27.288,0.0,25.913,-0.006,0.254,0.957,-0.491,0.078,0.314,,8554,8569,8435,8443,106,0.18,0.05,8562.69,8438.83,8563.11,8438.98,8563,8439,0,0,0,0,
23.28602492225264,-5.048174665287108,10995432614273951,26.593697,1.0424532,24.778154,4.9608808,22.105352,30.452839,20.774559,64.31817,23.286033500000013,-5.048185519357162,22.25133,0.128748,2,0.049729395347041,10660000379939,23.286033500000013,-5.048185519357162,20.610762,0.069521,0,54.64281040229882,10.332392489373786,0.18908969749731436,42.36450776386972,17.15398169726731,2,5.95,0.0,-2.0,7.0,3.0,MD2,6765297,1339,,9667,18,SB9667_VAST_0126-06A_island_4026,J013308-050251,1,01:33:08.8,-05:02:51,23.28678,-5.047657,887.5,25.11,11.77,79.96,1.174,0.0,1.844,-0.002,0.294,0.094,-0.06,0.0,0.027,,4616,4625,8655,8659,43,0.07,0.08,4620.56,8657.12,4620.54,8657.1,4621,8657,0,0,0,0,
359.7981990431814,-1.040358109899235,10995458162820771,25.584686,2.8319755,22.967808,25.171751,21.814041,34.177673,20.795725,61.83025,359.79819800165444,-1.0403539980661662,21.70826,0.110726,2,0.015269938808794094,10620800171718,359.79819800165444,-1.0403539980661662,20.801477,0.089706,2,99.14046529728809,26.59477763230642,0.2682535083183022,70.46624612330183,13.63908521213873,2,5.65,0.1,-2.0,8.0,3.0,MD2,30539661,5551,,34556,26,SB34556_island_10587,J235911-010226,1,23:59:11.5,-01:02:26,359.797969,-1.040649,855.5,11.67,6.44,119.47,0.258,0.0,0.554,0.018,0.107,0.026,-0.023,0.0,0.009,,2572,2581,5912,5919,50,0.06,0.09,2576.5,5915.94,2576.52,5915.94,2577,5916,0,0,0,0,
344.7679979788344,-44.78201728938537,10995219912727237,26.080254,2.7497969,23.95702,14.896593,21.83817,55.1246,20.837708,79.01671,344.76799977522893,-44.78201392794372,21.924786,0.075192,1,0.012942530175316195,11042200334573,344.76799977522893,-44.78201392794372,20.753681,0.06466,2,107.52701694408582,28.31198354259085,0.26330111582387816,77.26912325243966,11.191732049763115,2,5.899999999999995,0.0,0.0,7.0,1.0,BD4,27752999,5166,,33692,18,SB33692_island_719,J225904-444655,1,22:59:04.3,-44:46:55,344.767994,-44.782046,1367.5,6.34,5.55,44.52,5.629,0.0,6.203,-0.004,0.222,0.176,-0.177,-0.0,0.095,,3167,3173,9710,9716,42,0.05,0.02,3170.14,9713.19,3170.15,9713.12,3170,9713,0,0,0,0,
