ra,dec,mag_auto_z,magerr_auto_z
12.302994257068168,-50.8662160215099,20.983137,0.139761
10.128049720712188,-21.68015235599931,20.878944,0.123667
4.89188361801578,-20.419538026495843,20.722694,0.07792
4.961995775573175,-55.760191151690805,20.962448,0.085484
13.138504113358534,-39.43677281032234,20.703566,0.121336
9.813221476061187,-17.649953213523986,20.233902,0.046311
10.830038437604243,-7.3818789277643475,20.9468,0.096654
4.805086132564882,-56.84959352390172,20.674322,0.107251
13.362018280688977,-24.595563356759925,20.391527,0.120405
1.7817334944790013,-1.9973840011065676,20.359123,0.067168
4.966059322351664,-54.37650110504484,20.765938,0.100094
7.891059583288632,-6.284777927574652,20.95716,0.125813
15.63050196030422,-53.0737163544764,20.85816,0.143559
19.44512938058208,-55.450098993479116,20.85897,0.127061
32.09857849999999,-1.26377400072964,19.998325,0.042884
27.923009898606477,-45.52840807044538,19.81236,0.029828
31.572697329910486,-58.68080205390703,20.8553,0.135215
32.960877,-48.76822647537219,20.86141,0.111053
36.675708263502656,-41.31656347824068,20.901297,0.119422
39.529848899747414,-23.196064125223643,20.783978,3.059613
36.89753705570934,-12.32675382882232,20.89509,0.135346
33.8355719732314,-9.259201443829824,20.718733,3.480246
33.685733181028205,-1.5495799934475087,19.130848,0.021645
35.82361426033982,-77.18250409208449,19.908112,0.027462
30.477542559275154,-64.26707006354331,20.900438,0.12675
34.81589409773542,-13.154459483676007,20.89428,0.109723
31.54288659026577,-47.43121104810143,20.9141,0.106807
30.834269999999997,-40.51412815594736,19.56114,0.03195
34.71707839909942,-27.30369757659308,20.9767,0.16954
35.73782695959372,-29.823350991764315,20.59273,0.039806
33.26326075156017,-29.179938880939602,20.993076,0.141556
24.575506423871275,-70.77483249289656,20.12323,0.026668
23.246179317460832,-79.37327870866656,20.724154,0.087409
23.286033500000013,-5.048185519357162,20.610762,0.069521
29.469554999999907,-1.3986780005964192,20.778824,0.133559
27.42483380823021,-84.0544034536278,20.558952,0.035506
24.46774838332042,-50.952625412128384,20.679817,0.071894
28.554771999999996,-0.4483979978564889,20.789167,0.13121
27.476572442856092,-72.25469997575519,19.82824,0.021845
21.16032539337968,-50.187544904544325,20.969952,0.161347
22.28345021889219,-8.92053035895961,19.753023,13.828965
26.95280393129011,-57.048656528784875,20.618855,0.064307
30.836391157382053,-4.872177154505636,20.401314,0.089281
35.89159339207914,-55.641626636000126,20.907219,0.067342
33.15016527472071,-29.034172463141616,20.84673,0.147707
39.19438557985286,-30.7773010512565,20.7415,0.108052
30.959199481159246,-31.43401600391003,20.805283,0.107153
27.80069549381202,-3.1895284916087974,20.51882,0.061281
26.238076910767184,-56.853793091398785,20.702478,0.053037
29.87795700945475,-50.161612341970994,19.240122,0.027491
42.7058184163136,-18.924971890088003,20.93959,0.148034
41.17210786559458,-53.924480472184456,20.813915,0.136498
42.14909802892308,-51.05766789499725,20.942202,0.123028
43.38362874676931,-71.30761761661753,20.66575,0.036713
44.610450690044175,-6.835145752850252,20.996063,0.11814
42.711170081911966,-79.03430596958165,20.389412,0.043789
46.0813455872294,-61.035974380868595,20.188185,0.045538
49.102328068314925,-30.149551716203604,20.827682,0.090571
46.560082949197316,0.5518565720704913,19.955198,0.020029
321.89141903068355,-55.47061794053556,20.878202,0.068062
323.64815448726233,-38.4650319491233,20.608463,0.111046
329.262037,-2.100100991942668,20.587997,0.036983
327.40231075791564,-81.2612819128411,20.605743,0.092518
320.7270159223172,-55.30524529704192,18.79778,0.011469
327.188467468322,-58.81332106416704,20.65547,0.059556
329.89340801062536,-59.01743051451584,20.558456,0.115709
321.39189363243406,-34.75670732538161,20.822937,0.10805
323.8828449874801,-10.216816236926704,20.277058,0.05937
325.3998450862562,-75.37957219526587,20.449764,0.043479
324.007773822782,-41.962181858412805,19.653744,0.026272
324.67514190932724,-5.20256674384099,20.599525,0.062037
326.20033705722676,-3.222146071408872,20.27488,0.028936
323.9648245190517,-38.25538349484796,20.824242,0.122291
322.86910247804946,-25.1308143763558,20.650513,0.111315
323.40916591463883,-15.528835035900912,20.943594,0.098553
322.2683884665612,-77.49463725621627,20.319418,0.052917
326.6403950528078,-56.62704916854182,20.920181,0.110789
322.57796166746687,-38.19902336132165,20.754276,0.118561
324.14197756962716,-55.55630022096679,19.79636,0.031495
324.6514650508034,-14.541916702819691,20.562565,0.059738
322.1114179888085,-77.2126079817179,20.620937,0.067542
322.24820842917126,-45.75184812235631,19.615982,0.025026
325.0424028638132,-57.05300272996553,20.626236,0.142529
323.16469907902024,-33.540654034853475,20.942825,0.121085
328.5588633178719,-4.315040981823856,20.158398,0.038102
326.21842919372557,-14.252741083921933,20.752102,0.087552
323.867214,-55.580908319498434,20.990372,0.130079
320.0970881191819,-61.38600879717822,20.915926,0.093907
329.9972697807201,-83.66413991783543,17.835062,0.005785
322.1720897959339,-30.28820542476349,20.56506,0.078969
336.7842769486477,-50.39372959876002,20.894142,0.06842
334.89454632996126,-27.131698798021134,20.608376,0.094241
330.1109328473444,-5.7366980981068565,20.776255,0.115596
332.56625933637076,-5.2499557747400445,20.788715,0.044836
343.74387004238054,-22.617798468360945,20.93118,0.099191
339.02039015785454,-78.94047810915089,20.033508,0.033378
339.75883219868376,-80.22947965657372,20.431822,0.041115
344.76799977522893,-44.78201392794372,20.753681,0.06466
340.92469302894256,-25.640275256368128,20.375624,0.064211
331.52448191523445,-3.8227351342256526,20.679787,0.071028
344.3289909431725,-24.020848172924133,20.825869,0.091374
330.37656669631616,-83.45555048785681,18.032627,0.008596
332.3835682179123,-80.60544844325719,20.921171,0.118203
342.09530350282654,-11.902212229723915,20.937668,0.107783
335.8518785526923,-46.76771602736298,20.947271,0.135368
335.7881110365795,-49.82123145990079,20.731583,0.045772
337.196970005981,-14.749084426004202,20.67131,0.10988
336.59691798614034,-6.977238293300545,19.304356,0.014246
341.9781187513314,-8.615669040377924,20.863823,0.061629
342.8983200343658,-29.206850586984928,20.244434,0.050885
342.88995479723803,-30.73150160508969,20.984835,0.106319
342.5840880453336,-31.850179023736956,20.432308,0.079442
343.796876114157,-31.49563264734934,20.727623,0.044072
339.6149609608729,-31.672817629430043,19.74873,0.033319
341.41174525875107,-32.006434169509234,19.99898,0.038171
341.13026996898736,-33.745669560701415,20.722801,0.04949
340.8164650229303,-35.459860940547614,20.801565,0.074693
339.7591854397489,-35.065669814134935,20.813883,0.080453
344.84470615407,-35.85258601685506,20.765507,0.088078
329.9972697807201,-83.66413991783543,17.835062,0.005785
333.2261419846087,-82.84206293344207,20.650911,0.081155
337.282318050471,-3.9706593142174142,20.86905,0.082848
338.2091684410145,-28.925306630718566,20.79558,0.086295
343.8500783494466,-33.52517459313128,20.990631,0.088492
340.4260715739837,-33.83879529541504,20.625137,0.076766
344.6383571830186,-34.96507223243762,20.609644,0.048314
359.104509424496,-7.71574572121925,20.93828,0.083506
356.4415914715884,-5.57784689297273,20.259924,0.058646
347.69509981975966,-81.26573785558983,20.337337,0.037533
346.2223075334587,-79.5896042824009,20.900394,0.134139
349.39279849918614,-50.9873676085044,19.137606,0.015712
351.0124500566239,-49.662432938182576,20.902964,0.053585
358.9302557232842,-49.6491344722842,20.941353,0.132847
348.64666703420744,-18.515554712267985,20.909893,0.083487
359.79819800165444,-1.0403539980661662,20.801477,0.089706
352.8813492623127,-71.69503764350287,20.64215,0.030043
349.791911023145,-54.970891212302405,20.981276,0.12772
355.43490895324953,-24.938258682329973,20.998116,0.107456
354.80709326431025,-81.51843205065649,20.912401,0.078722
353.13734634522217,-47.56867466108574,19.910263,0.02956
348.4206510466623,-42.30329523723046,20.686195,0.051827
357.3214052566039,-4.779823143257929,20.690622,0.082526
346.62491479537215,0.3947319995224206,20.579868,2.46874
347.53155353474807,-27.96390663802478,20.7782,0.101044
350.1710719459399,-28.001136169610533,20.781393,0.100475
345.4873806857266,-30.305263070024225,20.799225,0.114127
348.85074270064376,-21.05029504099781,20.406208,0.070693
347.7157804289607,-17.814101154916514,20.685951,0.065964
351.27746650000006,-56.826640500000025,20.232916,0.048767
359.3437810686547,-7.5261082752862904,19.501148,0.019407
357.0299517031687,-55.85574745037013,20.706203,0.20212
359.100468239632,-55.632034383134595,20.55701,0.079769
346.50784693792093,-50.79988200834268,20.994694,0.092652
351.1601579790854,-20.332498190807485,18.647076,0.008754
348.0676009133449,-73.05975187210893,20.520805,0.061867
352.6923930288957,-30.36457531754776,20.632755,0.09656
350.73479360724434,-31.32161392753595,20.941664,0.122609
347.85440021444896,-32.35366137392546,20.988733,0.096069
2.235732533158206,-28.22271313027126,19.466582,0.015595
353.50952322081207,-11.130779609626586,20.865317,0.062355
337.8748053753813,-4.3135102515041694,19.904476,0.028833
344.2468385726928,-4.173116222393844,20.946887,0.072096
31.581861243038613,-77.55867340985932,20.398015,0.025949
21.085818458993085,-70.12115624763709,20.912531,0.09447
27.75429480495829,-70.30232200066985,20.947775,0.090214
36.21504772430835,-28.48253618717408,20.394699,0.052643
353.9718512783717,-69.95753993732745,20.775527,0.065811
353.01882246437214,-70.15702145494126,20.225919,0.02322
324.4244527353414,-70.33861695154852,20.473283,0.062897
321.23323765244066,-50.79758296694754,20.787298,0.049905
356.90299842360906,-64.51884821902917,20.732923,0.048729
331.4314730415707,-47.28893154832724,19.725939,0.024421
335.74065166042504,-31.444296015888867,20.755716,0.076079
